개방자치단체코드,관리번호,인허가번호,영업상태명,폐업일자,데이터갱신구분,업소명,도로명주소,소재지주소,영업상태코드,전화번호,신청일자,지정일자,지정취소일자,지정취소사유,불가일자,불가사유,음식의유형,주된음식종류,재지정일자,데이터갱신시점,최종수정시점
3150000,3150000-101-1986-02849,19860076156,영업,,I,등촌식당,"서울특별시 강서구 화곡로64길 68, 1~2층 (등촌동, 1동)",서울특별시 강서구 등촌동 654-95 (지상 1~2층) ,01,0236612744,2008-08-02,2008-08-02,2011-10-31,기준미달,,,,버섯칼국수,2010-08-03,2025-12-15 16:21:53,2024-09-10 13:17:56
3150000,3150000-101-1986-05707,19860076079,폐업,2013-11-26,I,까치식당,"서울특별시 강서구 가로공원로 238, 지하 1~지상 1층 (화곡동, 1동)",서울특별시 강서구 화곡동 367-62 (지하 1층 ~ 지상 1층) ,02,,2003-12-01,2003-12-12,2004-06-17,영업자지위승계,,,,추어탕,,2025-12-15 16:21:53,2012-02-20 11:59:30
3150000,3150000-101-1986-05906,19860076147,폐업,2013-09-23,I,장원,"서울특별시 강서구 화곡로 372, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동 656-18 1층 ,02,0236622888,2002-03-15,2008-07-09,2013-09-23,폐업민원처리: 201331500000446712,,,,복지리,2012-10-31,2025-12-15 16:21:53,2013-09-23 00:00:00
3150000,3150000-101-1987-05857,19870076017,영업,,I,달빛 오징어 광어 화곡점,서울특별시 강서구 까치산로 30 (화곡동),서울특별시 강서구 화곡동 105-6 ,01,0226027739,2002-03-15,2002-04-12,2011-10-31,기준미달,,,,생버섯불고기,2010-08-03,2025-12-15 16:21:53,2021-05-10 10:00:32
3150000,3150000-101-1987-06460,19870076219,폐업,2009-08-25,I,공항가든,,서울특별시 강서구 방화동 620-215 (지하 1층) ,02,026633335,2005-06-22,2005-07-12,2009-08-25,폐업민원처리: 200931500000095779,,,,버섯전골,2009-08-05,2025-12-15 16:21:53,2009-08-25 00:00:00
3150000,3150000-101-1987-08351,19870076081,폐업,2004-05-17,I,보무성,,서울특별시 강서구 화곡동 1060-21 ,02,026978993,2002-03-15,2002-04-12,2004-05-17,폐업민원,,,,자장면,2003-12-12,2025-12-15 16:21:53,2007-07-14 13:29:58
3150000,3150000-101-1988-03496,19880076260,폐업,2022-03-25,I,경진푸드,"서울특별시 강서구 개화동로 565, 1층 (방화동, 2동)",서울특별시 강서구 방화동 621-24 (지상 1층) ,02,0226637756,2004-06-01,2008-07-09,2011-10-31,기준미달,,,,감자탕,2010-08-03,2025-12-15 16:21:53,2022-03-25 14:04:27
3150000,3150000-101-1988-04022,19880076198,폐업,2019-10-24,I,오남매포차,"서울특별시 강서구 월정로 124, 2층 (화곡동, 1동)",서울특별시 강서구 화곡동 357-26 (지상 2층) ,02,0226994887,1988-10-15,1988-10-15,2004-10-22,영업자지위승계,,,,한식,,2025-12-15 16:21:53,2019-10-24 17:45:09
3150000,3150000-101-1988-04144,19880076094,영업,,I,도일처,"서울특별시 강서구 개화동로 567, 1~2층 (방화동)",서울특별시 강서구 방화동 621-19 (지상 1~2층) ,01,0226622322,2009-07-27,2009-07-27,,,,,중국식,누룽지해물탕,2025-12-16,2025-12-15 16:21:53,2025-12-15 20:17:44
3150000,3150000-101-1988-05570,19880076204,폐업,2015-10-23,I,호가네사슴,"서울특별시 강서구 양천로30길 14, 2층 (마곡동, 1동)",서울특별시 강서구 마곡동 326-9 (지상 2층) ,02,0236632747,2004-06-01,2004-07-05,2011-10-31,기준미달,,,,샤브샤브,2010-08-03,2025-12-15 16:21:53,2012-02-06 16:25:58
3150000,3150000-101-1988-05976,19880076140,폐업,2010-10-15,I,남도숯불갈비,,서울특별시 강서구 화곡동 404-6 ,02,026946665,2003-12-01,2003-12-12,2005-03-03,영업자지위승계,,,,낙지비빔밥,,2025-12-15 16:21:53,2009-03-26 10:46:38
3150000,3150000-101-1988-06285,19880076268,폐업,2017-01-03,I,류가네오리농장,서울특별시 강서구 화곡로 193 (화곡동),서울특별시 강서구 화곡동 1060-21 ,02,0226682275,2002-03-15,2002-04-12,2011-10-31,기준미달,,,,보쌈정식,2010-12-09,2025-12-15 16:21:53,2017-01-03 18:15:35
3150000,3150000-101-1989-05662,19890076153,폐업,2008-03-11,I,장춘가든,,서울특별시 강서구 방화동 803-0 ,02,026645446,2002-03-15,2002-04-12,2004-07-05,멸실,,,,한정식,2004-07-05,2025-12-15 16:21:53,2007-07-14 13:29:58
3150000,3150000-101-1989-06002,19890076133,폐업,2025-04-30,I,엉터리생고기화곡점,"서울특별시 강서구 화곡로32길 14, 1층 (화곡동)",서울특별시 강서구 화곡동 98-209 (지상 1층) ,02,0226021002,2007-06-08,2007-06-28,2008-07-09,지정취소,,,,모듬회,2009-08-05,2025-12-15 16:21:53,2025-04-30 14:38:48
3150000,3150000-101-1989-06013,19890076283,영업,,I,쭈퐁,"서울특별시 강서구 공항대로45길 44, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동 641-11 (지상 1층) ,01,0236611020,2004-02-02,2008-07-09,2008-07-09,지정취소,,,,칼국수,2012-11-30,2025-12-15 16:21:53,2019-11-22 11:12:52
3150000,3150000-101-1989-06024,19890076213,폐업,2010-01-04,I,까치복집,,서울특별시 강서구 화곡동 400-41 (지상 1층) ,02,026906778,2005-06-22,2005-07-12,2010-01-04,폐업민원처리: 201031500000000419,,,,복탕,2009-08-05,2025-12-15 16:21:53,2010-01-04 14:14:58
3150000,3150000-101-1989-06179,19890076306,폐업,2009-06-30,I,일조일석뼈다귀,,서울특별시 강서구 등촌동 646-2 ,02,,2005-06-22,2005-07-12,2009-06-30,폐업민원처리: 200931500000070858,,,,해장국,2008-07-09,2025-12-15 16:21:53,2009-06-30 00:00:00
3150000,3150000-101-1989-06286,19890076204,폐업,2008-08-05,I,서해안횟집,,서울특별시 강서구 화곡동 1063-0 (지상 1층) ,02,026968383,2002-03-15,2002-04-12,2008-08-05,폐업민원처리: 200831500000069449,,,,"삼겹살,등심",2008-07-09,2025-12-15 16:21:53,2008-08-05 00:00:00
3150000,3150000-101-1989-06306,19890076042,폐업,2014-06-16,I,강서갈비(강서한우사랑),"서울특별시 강서구 공항대로 653-18 (염창동,(지하1층~지상1,2,3층))","서울특별시 강서구 염창동 260-8 (지하1층~지상1,2,3층) ",02,0236654888,2002-03-15,2002-04-12,2013-06-17,행정처분,,,,갈비,2011-10-31,2025-12-15 16:21:53,2014-06-17 16:54:56
3150000,3150000-101-1989-06323,19890076124,폐업,2011-09-05,I,시우,,서울특별시 강서구 화곡동 987-15 (지상 1층) ,02,026961558,2005-06-22,2005-07-12,2008-07-09,,,,,복탕,2008-07-09,2025-12-15 16:21:53,2011-08-09 10:14:57
3150000,3150000-101-1989-08621,19890076301,폐업,2010-12-30,I,세종회관,,서울특별시 강서구 화곡동 908-20 (지상 1~2층) ,02,0226907515,2002-03-15,2002-04-12,2010-12-30,폐업민원처리: 201031500000189858,,,,해물탕,2010-08-03,2025-12-15 16:21:53,2010-12-30 00:00:00
3150000,3150000-101-1990-04207,19900076027,폐업,2001-05-09,I,공항칼국수,,서울특별시 강서구 공항동 652-6 ,02,026644149,1996-03-19,1996-03-19,2001-05-09,자진폐업,,,,한식,,2025-12-15 16:21:53,2014-02-17 13:27:04
3150000,3150000-101-1990-05451,19900076355,폐업,2015-11-13,I,풍원한정식,"서울특별시 강서구 초원로 34-1, 1층 (방화동, 2동)",서울특별시 강서구 방화동 589-7 (지상 1층) ,02,0226022432,2009-08-05,2012-05-29,2015-11-13,폐업민원처리: 201531500000697630,,,한식,한정식,2014-12-16,2025-12-15 16:21:53,2015-11-13 00:00:00
3150000,3150000-101-1990-05615,19900076332,폐업,2007-10-31,I,배나무골,,서울특별시 강서구 화곡동 1051-25 ,02,0226045181,2002-03-15,2002-04-12,2008-07-09,,,,,칼국수,2004-07-05,2025-12-15 16:21:53,2008-08-02 15:13:52
3150000,3150000-101-1990-05636,19900076207,영업,,I,목포식당,서울특별시 강서구 공항대로59다길 276 (염창동),서울특별시 강서구 염창동 283-1 ,01,0236642564,2009-08-05,2009-08-05,2011-10-31,기준미달,,,,연포탕,2010-08-03,2025-12-15 16:21:53,2021-12-24 15:24:31
3150000,3150000-101-1990-05813,19900076175,폐업,2008-05-16,I,시골맛생돼지두루치기,,서울특별시 강서구 화곡동 1068-1 ,02,026968848,2002-03-15,2002-04-12,2005-11-14,영업자지위승계,,,,갈비,2004-07-05,2025-12-15 16:21:53,2007-10-08 16:39:12
3150000,3150000-101-1990-05941,19900076275,영업,,I,여자만,"서울특별시 강서구 가로공원로 199-1, 2,3층 (화곡동)","서울특별시 강서구 화곡동 379-64 2,3층 ",01,0226999292,2002-03-15,2002-04-12,2004-07-05,영업정지,,,,장어구이,2004-07-05,2025-12-15 16:21:53,2019-10-10 15:23:35
3150000,3150000-101-1990-05954,19900076214,폐업,2019-07-24,I,미락,"서울특별시 강서구 공항대로 509, 1층 110~112호 (등촌동, 1동 우림보보카운티뷰)",서울특별시 강서구 등촌동 649-14 우림보보카운티뷰 (지상 1층) 110~112호 ,02,0236623535,2002-03-15,2008-07-09,2019-07-24,폐업민원처리: 201931500000663615,,,일식,"복지리, 매운탕",2018-12-10,2025-12-15 16:21:53,2019-07-24 13:29:30
3150000,3150000-101-1990-06096,19900076134,폐업,2012-10-25,I,라이라이식당,,서울특별시 강서구 염창동 273-3 (지상 1층) ,02,026512532,2002-03-15,2002-04-12,2011-10-31,기준미달,,,,자장면,2010-08-03,2025-12-15 16:21:53,2011-12-01 10:35:45
3150000,3150000-101-1990-06173,19900076418,폐업,2015-12-29,I,마포최대포,"서울특별시 강서구 곰달래로 242, 1층 (화곡동, 4동)",서울특별시 강서구 화곡동 793-12 (지상 1층) ,02,0226437294,2002-03-15,2002-04-12,2011-10-31,기준미달,,,,돼지갈비,2010-08-03,2025-12-15 16:21:53,2015-02-02 09:50:20
3150000,3150000-101-1990-07666,19900076328,폐업,2005-03-05,I,태능숯불구이,,서울특별시 강서구 방화동 249-80 ,02,0226670559,2002-03-15,2002-04-12,2004-03-10,영업자지위승계,,,,뼈다귀해장국,2003-12-12,2025-12-15 16:21:53,2007-07-14 13:29:58
3150000,3150000-101-1990-08647,19900076345,영업,,I,솔밭식당,서울특별시 강서구 강서로5나길 12 (화곡동),서울특별시 강서구 화곡동 904-11 ,01,0226999793,2002-03-15,2002-04-12,2003-10-15,영업자지위승계,,,,"아구찜,게장",,2025-12-15 16:21:53,2021-12-28 10:50:12
3150000,3150000-101-1990-08653,19900076197,폐업,2004-11-26,I,마산아구찜,,서울특별시 강서구 화곡동 1099-7 ,02,026960968,2002-03-15,2002-04-12,2004-07-05,멸실,,,,아구찜,2004-07-05,2025-12-15 16:21:53,2007-07-14 13:29:58
3150000,3150000-101-1990-08886,19900076162,영업,,I,다도해,"서울특별시 강서구 마곡동로 62, 마곡사이언스타워 2층 212호 (마곡동)",서울특별시 강서구 마곡동 796-3 마곡사이언스타워 2층 212호,01,0226610176,2007-06-28,2007-06-28,,,,,일식,활어회,2025-12-16,2025-12-15 16:21:53,2025-12-15 20:17:54
3150000,3150000-101-1991-05509,19910076311,영업,,I,전라밥상,"서울특별시 강서구 초원로 60, 1층 (방화동)",서울특별시 강서구 방화동 598-36 ,01,0226669311,2004-06-01,2004-07-05,2007-06-28,명의변경,,,,돼지갈비,,2025-12-15 16:21:53,2024-07-22 14:56:57
3150000,3150000-101-1991-05538,19910076454,영업,,I,푸주도가니,"서울특별시 강서구 까치산로 183, 1층 (화곡동)",서울특별시 강서구 화곡동 1114-7 (지상 1층) ,01,0226063677,2012-11-28,2012-11-07,,,,,한식,도가니탕,2025-12-16,2025-12-15 16:21:53,2025-12-15 20:18:06
3150000,3150000-101-1991-05621,19910076067,폐업,2025-11-06,I,방화동 아구찜,서울특별시 강서구 방화동로 59 (방화동),서울특별시 강서구 방화동 606-112 1층 ,02,0226612288,2023-10-24,2023-12-12,2025-11-06,폐업민원처리: 202531500000179035,,,한식,삼겹살,2024-12-04,2025-12-15 16:21:53,2025-11-06 10:31:28
3150000,3150000-101-1991-05815,19910076198,폐업,2022-07-15,I,미락식당,"서울특별시 강서구 화곡로15길 10, 1층 (화곡동, 3동)",서울특별시 강서구 화곡동 1068-1 (지상 1층) ,02,0226043855,2002-03-15,2002-04-12,2011-10-31,기준미달,,,,삼겹살,2010-08-03,2025-12-15 16:21:53,2022-07-15 16:59:09
3150000,3150000-101-1991-05982,19910076495,영업,,I,정일품삼계탕,"서울특별시 강서구 공항대로59가길 10, 2층 201~202호 (등촌동)","서울특별시 강서구 등촌동 648-11 지상 2층, 201~202호 ",01,0236618058,2002-03-15,2008-07-09,2017-06-16,행정처분,,,한식,삼계탕,2016-11-03,2025-12-15 16:21:53,2020-11-03 21:03:52
3150000,3150000-101-1991-06062,19910076108,영업,,I,일등수산,"서울특별시 강서구 까치산로 38, 1층 (화곡동)",서울특별시 강서구 화곡동 98-63 ,01,0226991388,2002-03-15,2008-07-09,2011-10-31,기준미달,,,,순대국,2010-08-03,2025-12-15 16:21:53,2025-09-04 16:31:30
3150000,3150000-101-1991-06092,19910076163,폐업,2017-07-18,I,오늘 손 칼국수 앤 찜,"서울특별시 강서구 가로공원로 198, 1층 (화곡동, 1동)",서울특별시 강서구 화곡동 371-32 (지상 1층) ,02,0226083297,2002-03-15,2002-04-12,2006-05-23,영업자지위승계,,,,돼지갈비,2004-07-05,2025-12-15 16:21:53,2024-11-17 11:05:17
3150000,3150000-101-1991-06235,19910076225,영업,,I,장수흑염소요리전문점,"서울특별시 강서구 공항대로65길 1-5, 2층 (염창동)",서울특별시 강서구 염창동 272-8 (지상 2층) ,01,0236627818,2013-12-01,2013-12-02,2021-12-02,,,,한식,순대국,2020-12-28,2025-12-15 16:21:53,2024-04-18 09:20:46
3150000,3150000-101-1991-06300,19910076406,폐업,2013-04-30,I,백두옥,"서울특별시 강서구 곰달래로 198, 1층 (화곡동, 2동)",서울특별시 강서구 화곡동 849-20 (지상 1층) ,02,0226070095,2002-03-15,2008-07-09,2010-08-03,기준미달,,,,추어탕,2009-08-05,2025-12-15 16:21:53,2013-04-25 13:58:59
3150000,3150000-101-1991-06516,19910076230,폐업,2017-05-08,I,숯불닭갈비,서울특별시 강서구 강서로5나길 25-1 (화곡동),서울특별시 강서구 화곡동 906-6 ,02,,2002-03-15,2002-04-12,2008-07-09,지정취소,,,,보쌈,2008-07-09,2025-12-15 16:21:53,2017-05-08 16:38:35
3150000,3150000-101-1991-06637,19910076487,폐업,2005-04-13,I,들풀한식뷔페,,서울특별시 강서구 화곡동 860-15 ,02,0226018384,2002-03-15,2002-04-12,2005-04-13,폐업민원,,,,돼지갈비,2003-12-12,2025-12-15 16:21:53,2007-07-14 13:29:58
3150000,3150000-101-1991-08639,19910076309,폐업,2006-11-15,I,곰달래갈비마을,,서울특별시 강서구 화곡동 343-43 1층 ,02,0226014141,2002-03-15,2002-04-12,2006-03-23,영업자지위승계,,,,갈비탕,2004-07-05,2025-12-15 16:21:53,2007-07-14 13:29:58
3150000,3150000-101-1992-02734,19920076224,폐업,2008-09-08,I,상하이그릴,,서울특별시 강서구 내발산동 646-1 (지상 1층) ,02,023156604,2002-03-15,2002-04-12,2004-03-05,영업자지위승계,,,,닭갈비,2003-12-12,2025-12-15 16:21:53,2008-07-10 14:42:36
3150000,3150000-101-1992-03382,19920076415,폐업,2016-05-18,I,한강출장부페,"서울특별시 강서구 등촌로55길 13 (등촌동,(지상 1층))",서울특별시 강서구 등촌동 508-3 (지상 1층) ,02,0226551006,2002-03-15,2002-04-12,2008-07-09,지정취소,,,,소고기,2008-07-09,2025-12-15 16:21:53,2014-02-20 18:10:15
3150000,3150000-101-1992-03385,19920076603,폐업,2005-12-08,I,이바돔감자탕,,서울특별시 강서구 화곡동 958-13 ,02,026926900,2005-06-22,2005-07-12,2005-12-08,폐업민원,,,,감자탕,,2025-12-15 16:21:53,2005-08-11 00:00:00
3150000,3150000-101-1992-03501,19920076460,폐업,2019-03-21,I,신안갯벌세발낙지,"서울특별시 강서구 우장산로15길 3, 1층 (화곡동, 6동)",서울특별시 강서구 화곡동 1098-8 (지상 1층) ,02,0226954996,2013-12-01,2013-12-02,2016-11-03,2016년 모범음식점 평가기준 미달,,,한식,연포탕,2015-11-18,2025-12-15 16:21:53,2019-03-21 10:43:14
3150000,3150000-101-1992-03511,19920076670,영업,,I,팔도미락,"서울특별시 강서구 우장산로 123, 태정빌딩 2층 (화곡동)",서울특별시 강서구 화곡동 1098-10 태정빌딩 ,01,0226077161,2002-03-15,2002-04-12,,,,,한식,계절요리,2025-12-16,2025-12-15 16:21:53,2025-12-15 20:18:13
3150000,3150000-101-1992-03554,19920076107,폐업,2014-04-11,I,우미가,"서울특별시 강서구 곰달래로38길 29 (화곡동,(지상 2층))",서울특별시 강서구 화곡동 852-19 (지상 2층) ,02,0226061700,2002-03-15,2002-04-12,2006-03-16,영업자지위승계,,,,"회덮밥,매운탕,회정식",2004-07-05,2025-12-15 16:21:53,2010-08-30 16:01:25
3150000,3150000-101-1992-03964,19920076144,영업,,I,다원,"서울특별시 강서구 공항대로65길 1-5, 지하 1층 ~1층 (염창동)",서울특별시 강서구 염창동 272-8 (지하 1층 ~ 1층) ,01,0236653600,2002-03-15,2002-04-12,2011-10-31,기준미달,,,,정식,2010-08-03,2025-12-15 16:21:53,2018-08-12 14:17:35
3150000,3150000-101-1992-03989,19920076417,폐업,2005-02-18,I,동원참치회,,서울특별시 강서구 화곡동 904-3 ,02,026960635,2002-03-15,2002-04-12,2005-03-04,폐업민원,,,,설렁탕,2004-07-05,2025-12-15 16:21:53,2007-07-14 13:29:58
3150000,3150000-101-1992-05894,19920076599,폐업,2006-06-01,I,뚱띵이왕갈비,,서울특별시 강서구 화곡동 379-71 ,02,0226031768,2002-03-15,2002-04-12,2006-06-01,폐업민원,,,,갈비,2003-12-12,2025-12-15 16:21:53,2007-07-14 13:29:58
3150000,3150000-101-1992-06202,19920076214,영업,,I,세상에 이런포차,"서울특별시 강서구 양천로 701, 1층 (염창동)",서울특별시 강서구 염창동 250-21 외 1필지 (지상 1층) ,01,0236639970,2002-03-15,2002-04-12,2005-03-23,영업자지위승계,,,,아구찜,2004-07-05,2025-12-15 16:21:53,2021-02-23 11:08:44
3150000,3150000-101-1992-08636,19920076584,폐업,2022-08-30,I,생태와 삼겹살,"서울특별시 강서구 화곡로27길 14, 1층 (화곡동, 우장산동)",서울특별시 강서구 화곡동 1062-2 (지상 1층) ,02,0226908084,2010-05-31,2010-08-03,2012-11-07,지정취소,,,,동태탕,2012-11-30,2025-12-15 16:21:53,2022-08-30 09:41:26
3150000,3150000-101-1993-03521,19930076265,폐업,2025-07-02,I,김가네설렁탕,"서울특별시 강서구 방화동로 52, 1층 (방화동)",서울특별시 강서구 방화동 609-201 ,02,0226660666,2002-03-15,2002-04-12,2025-07-02,폐업민원처리: 202531500000105724,,,한식,설렁탕,2024-12-04,2025-12-15 16:21:53,2025-07-02 09:34:32
3150000,3150000-101-1993-03551,19930076708,폐업,2022-02-04,I,다랭이 마을,"서울특별시 강서구 화곡로27길 20, 1층 (화곡동, 우장산동)",서울특별시 강서구 화곡동 1053-8 (지상 1층) ,02,0226087638,2007-06-08,2007-06-28,2011-10-31,기준미달,,,,참치,2010-08-03,2025-12-15 16:21:53,2022-02-04 10:53:50
3150000,3150000-101-1993-03906,19930076353,폐업,2021-11-22,I,미스터피자 발산점,"서울특별시 강서구 강서로 281, 1~2층 (내발산동, 1동)",서울특별시 강서구 내발산동 701-14 (지상 1층~2층) ,02,0226651067,2002-03-15,2002-04-12,2021-11-22,폐업민원처리: 202131500001007449,,,경양식,포테이토피자,2020-12-28,2025-12-15 16:21:53,2021-11-22 17:57:48
3150000,3150000-101-1993-03993,19930076762,폐업,2013-04-05,I,놀부보쌈목동사거리점,"서울특별시 강서구 등촌로 19 (화곡동,(지상 2층))",서울특별시 강서구 화곡동 781-4 (지상 2층) ,02,0226535382,2012-11-01,2012-11-07,2013-04-05,폐업민원처리: 201331500000201657,,,한식,보쌈,,2025-12-15 16:21:53,2013-04-05 00:00:00
3150000,3150000-101-1993-05999,19930076007,폐업,2026-03-31,U,육화몽우장산역점,"서울특별시 강서구 강서로 237, 지상1층 3~5호 (화곡동)",서울특별시 강서구 화곡동 1013 ,02,0226968897,2007-06-08,2007-06-28,2011-10-31,기준미달,,,,메밀막국수,2010-08-03,2026-04-01 03:03:03,2026-03-31 17:45:40
3150000,3150000-101-1993-06337,19930076877,폐업,2005-10-11,I,민물장어박사,,서울특별시 강서구 화곡동 1068-27 ,02,0226019292,2002-03-15,2002-04-12,2005-10-11,폐업민원,,,,장어정식,2004-07-05,2025-12-15 16:21:53,2007-07-14 13:29:58
3150000,3150000-101-1993-06422,19930076657,폐업,2010-05-28,I,오뎅가,,서울특별시 강서구 화곡동 1112-20 (지상 2층) ,02,0226160305,2002-03-15,2002-04-12,2007-06-28,명의변경,,,,모듬회,2004-07-05,2025-12-15 16:21:53,2009-12-02 12:09:02
3150000,3150000-101-1993-06457,19930076613,폐업,2018-01-31,I,칠갑산,서울특별시 강서구 곰달래로38길 33 (화곡동),서울특별시 강서구 화곡동 852-18 ,02,0206089224,2002-03-15,2002-04-12,2008-07-09,지정취소,,,,"냉면,불고기",2008-07-09,2025-12-15 16:21:53,2018-01-31 18:10:24
